date,dominance_btc,ratio_eth_btc
2018-04-28,41.8695,0.07306234
2018-04-29,41.5892,0.07324745
2018-04-30,42.3629,0.0722812
2018-05-01,41.5934,0.07402107
2018-05-02,41.4596,0.07459825
2018-05-03,41.5992,0.07982786
2018-05-04,41.3576,0.08078994
2018-05-05,41.1803,0.0828259
2018-05-06,41.6564,0.0817997
2018-05-07,42.0403,0.08007221
2018-05-08,42.0454,0.08159369
2018-05-09,42.5798,0.08052635
2018-05-10,42.9911,0.08032539
2018-05-11,43.4968,0.08070688
2018-05-12,42.8461,0.08081497
2018-05-13,42.0289,0.08411232
2018-05-14,42.1367,0.0837753
2018-05-15,42.6713,0.08322722
2018-05-16,42.3143,0.08470356
2018-05-17,43.0,0.0829816
2018-05-18,42.7255,0.08425172
2018-05-19,42.8259,0.0843078
2018-05-20,42.7959,0.08383904
2018-05-21,43.2111,0.08309047
2018-05-22,43.7124,0.08038286
2018-05-23,44.2928,0.07688341
2018-05-24,43.2411,0.07928199
2018-05-25,43.6757,0.07792121
2018-05-26,43.2526,0.07975201
2018-05-27,43.711,0.07772879
2018-05-28,45.292,0.07222751
2018-05-29,44.1643,0.07565481
2018-05-30,44.1327,0.07549659
2018-05-31,43.7131,0.07694742
2018-06-01,43.6964,0.07697343
2018-06-02,43.3356,0.07748818
2018-06-03,42.621,0.08026748
2018-06-04,42.8999,0.07879124
2018-06-05,42.7004,0.07977511
2018-06-06,42.8057,0.07913308
2018-06-07,42.949,0.07854989
2018-06-08,42.9472,0.07873009
2018-06-09,43.1217,0.07886978
2018-06-10,43.6839,0.07728648
2018-06-11,43.4439,0.07728669
2018-06-12,44.2048,0.07505111
2018-06-13,44.336,0.0752319
2018-06-14,43.7558,0.07809052
2018-06-15,44.1499,0.07601938
2018-06-16,44.2669,0.07656626
2018-06-17,44.3099,0.07686471
2018-06-18,44.5583,0.07709801
2018-06-19,44.1288,0.07977335
2018-06-20,44.4463,0.07926145
2018-06-21,44.689,0.07821161
2018-06-22,44.9924,0.07640256
2018-06-23,45.0815,0.07697244
2018-06-24,45.8731,0.07392658
2018-06-25,45.9223,0.07354716
2018-06-26,46.7661,0.07094553
2018-06-27,46.2196,0.07194356
2018-06-28,46.5249,0.07165345
2018-06-29,47.0599,0.07020455
2018-06-30,47.0012,0.07085256
2018-07-01,46.8853,0.07102183
2018-07-02,46.3404,0.0720283
2018-07-03,46.5424,0.07105722
2018-07-04,46.5061,0.07078668
2018-07-05,46.8099,0.07146708
2018-07-06,46.9182,0.07100339
2018-07-07,47.0656,0.07131845
2018-07-08,46.8531,0.07250378
2018-07-09,47.2057,0.07078629
2018-07-10,47.7235,0.06865156
2018-07-11,47.5766,0.06998255
2018-07-12,47.8402,0.06881793
2018-07-13,47.2224,0.06947249
2018-07-14,47.2108,0.06937033
2018-07-15,46.7996,0.07069251
2018-07-16,46.4505,0.07113381
2018-07-17,47.2392,0.06822379
2018-07-18,47.3883,0.06494023
2018-07-19,47.9504,0.06272978
2018-07-20,49.3186,0.06108125
2018-07-21,48.5814,0.06234164
2018-07-22,48.9612,0.06177935
2018-07-23,50.2248,0.05818383
2018-07-24,51.091,0.05692532
2018-07-25,49.8831,0.0576268
2018-07-26,50.1183,0.05855919
2018-07-27,50.4177,0.05741678
2018-07-28,50.6255,0.05705754
2018-07-29,50.8721,0.05673647
2018-07-30,51.3686,0.05578862
2018-07-31,51.1717,0.05589529
2018-08-01,50.7132,0.05515817
2018-08-02,51.4512,0.05448639
2018-08-03,50.7809,0.0562993
2018-08-04,50.3004,0.05804158
2018-08-05,50.1034,0.05815897
2018-08-06,50.545,0.05849619
2018-08-07,51.4141,0.05631167
2018-08-08,52.4476,0.05654176
2018-08-09,52.1251,0.05565656
2018-08-10,52.2239,0.05388777
2018-08-11,53.6138,0.05114268
2018-08-12,53.8477,0.05035157
2018-08-13,55.2784,0.04538757
2018-08-14,55.6401,0.04466447
2018-08-15,55.4882,0.04483892
2018-08-16,55.1932,0.04542643
2018-08-17,52.7456,0.04798826
2018-08-18,54.031,0.04616669
2018-08-19,53.6486,0.04622988
2018-08-20,54.8766,0.04329972
2018-08-21,54.6542,0.04340144
2018-08-22,55.3479,0.04243216
2018-08-23,55.3277,0.0422331
2018-08-24,55.6618,0.04205676
