date,price_usd,market_cap_usd,mvrv,supply,realized_price_usd,sma_200d,mayer_multiple,ath_usd,drawdown_pct,halving_number,days_since_halving
2018-10-03,0.240091241382499,25051724560.2521612780259408991322,2.26194133,104342517519.5843678,0.10614388543070612,0.259791365109387,0.9241694437434703,0.880229965321243,-72.7240322595838,2,816
2018-10-04,0.242687299035533,25322603749.0888904600233573709596,2.26322474,104342517510.0790412,0.1072307556321309,0.2599085411426813,0.9337411458991092,0.880229965321243,-72.42910278032134,2,817
2018-10-05,0.245515647629579,25617720759.2879442136408213078322,2.28851019,104342517499.8972118,0.10728186778560028,0.25990801366530425,0.9446251547508691,0.880229965321243,-72.10778349951114,2,818
2018-10-06,0.239594451328559,24999888228.2743594397433166315084,2.23519111,104342517490.0719476,0.10719193104188705,0.25978142910957414,0.9222924523503934,0.880229965321243,-72.78047092601328,2,819
2018-10-07,0.242705172710065,25324468726.035354332453229285052,2.26250797,104342517480.2018008,0.10727262662861028,0.2597472924748473,0.9343896153742101,0.880229965321243,-72.42707221157951,2,820
2018-10-08,0.247513302825257,25826161124.1613005570359141305259,1.26139172,104342517470.2404787,0.19622239380583298,0.25978207516692,0.9527728295580832,0.880229965321243,-71.88083653401574,2,821
2018-10-09,0.244984673294139,25567165296.8180848966646032103655,1.24871859,104362305417.0456645,0.19618885732624433,0.2598439661913773,0.9428145547690174,0.880229965321243,-72.16810572851482,2,822
2018-10-10,0.239295075695326,24973385768.6668808966004133535824,1.22030568,104362305392.6248024,0.1960943717768535,0.2598671221768163,0.920836286217489,0.880229965321243,-72.81448199641848,2,823
2018-10-11,0.205407621872667,21436812961.5446308852391926560681,1.05013388,104362305381.4108043,0.19560136643974102,0.25970069277109475,0.7909398303134959,0.880229965321243,-76.66432296499895,2,824
2018-10-12,0.212051105934089,22130142271.5646698698978027912526,1.08360302,104362305370.1181534,0.19569076684013767,0.2596239599608963,0.8167624666306893,0.880229965321243,-75.90957882731246,2,825
2018-10-13,0.211821675755762,22106198406.8814068334999678485054,1.08246342,104362305359.0164567,0.19568483501803877,0.25959958582102877,0.8159553686722542,0.880229965321243,-75.93564362712227,2,826
2018-10-14,0.206433446460697,21543870373.5710762919712954673079,1.055354,104362305347.9990607,0.1956058786537001,0.25954294442786635,0.795372985059396,0.880229965321243,-76.54778244394822,2,827
2018-10-15,0.218278393766437,22780036378.505746961666085593854,1.11498299,104362305336.005542,0.19576836214015877,0.2596827976303495,0.8405577718596116,0.880229965321243,-75.20211735954983,2,828
2018-10-16,0.226457766210664,23638161198.039596969486937824748,1.15605053,104382205978.5312195,0.19588915911025448,0.2598821429185343,0.8713864048814316,0.880229965321243,-74.27288604881595,2,829
2018-10-17,0.239072300786388,24954894138.9965746496269472026116,1.21937423,104382205955.7366557,0.1960614673531259,0.2600543541479982,0.9193166619711,0.880229965321243,-72.83979071319871,2,830
2018-10-18,0.238626141525128,24908323047.9004178283760911647456,1.21755632,104382205942.3338652,0.1959877646769786,0.2602226721911968,0.917007497908557,0.880229965321243,-72.89047738359594,2,831
2018-10-19,0.244495080737396,25520935866.1173897178042946470676,1.24695365,104382205928.8324681,0.19607391240034944,0.26033046731065207,0.9391719811482545,0.880229965321243,-72.22372671121612,2,832
2018-10-20,0.245352882672776,25610475121.3004519394661157332264,1.25123178,104382205916.2712789,0.19608907525732444,0.26039634272067125,0.9422286047080451,0.880229965321243,-72.12627468513485,2,833
2018-10-21,0.240967932961806,25152764395.143306194652867489018,1.22925005,104382205905.920603,0.19602841013657554,0.26059701919307127,0.9246764744583572,0.880229965321243,-72.62443424385536,2,834
2018-10-22,0.241410550771287,25198965816.1346596660515990235674,1.2314398,104382205896.2461302,0.1960392629597379,0.26082211402705896,0.9255754699781396,0.880229965321243,-72.57414990602105,2,835
2018-10-23,0.239977900157622,25054199437.6017739337309703580992,1.22546113,104402111282.5210336,0.19582661112851618,0.26106311097438484,0.9192332814158807,0.880229965321243,-72.73690857933458,2,836
2018-10-24,0.235776646003061,24615579628.1041970819060172925592,1.20438098,104402111258.2313272,0.1957658331693855,0.26123665836073057,0.9025404301316973,0.880229965321243,-73.21419909659477,2,837
2018-10-25,0.233656529618572,24394234998.9210943523982175577352,1.19383373,104402111247.4065366,0.1957194907020863,0.26137514777040494,0.893950827428393,0.880229965321243,-73.45505847062384,2,838
2018-10-26,0.232202735155007,24242455785.3503265305427511751685,1.18656032,104402111237.6960955,0.1956939999097619,0.2615584154100301,0.8877662559279391,0.880229965321243,-73.62021922643093,2,839
2018-10-27,0.227528362930781,23754441454.1628741132069801450309,1.16508255,104402111227.7306889,0.19528947792650486,0.2617041587997448,0.8694105740401511,0.880229965321243,-74.15125911468559,2,840
2018-10-28,0.23128430569116,24146569805.719985006245463999988,1.18401724,104402111217.8858043,0.19533863011248045,0.26179862922753244,0.8834435320520642,0.880229965321243,-73.72455894446266,2,841
2018-10-29,0.219946731501014,22962903122.1247547388338162345498,1.12762355,104402111208.5445607,0.1950533327376978,0.261678005166339,0.8405243358577349,0.880229965321243,-75.01258305598087,2,842
2018-10-30,0.221397700014905,23118795527.558276114381767185598,1.1356161,104422022116.7693516,0.1949582257726929,0.2615396112313456,0.846516896513496,0.880229965321243,-74.84774334692126,2,843
2018-10-31,0.224334188607158,23425429599.0344727180203316178696,1.15065079,104422022093.3681612,0.1949628771446444,0.2613915322444038,0.8582305122164524,0.880229965321243,-74.51413864043057,2,844
2018-11-01,0.223841501241699,23373982185.636529045659340105584,1.14817882,104422022082.481616,0.19495351886189557,0.26103532310683425,0.8575142190625562,0.880229965321243,-74.57011121406128,2,845
2018-11-02,0.234685071890718,24506289757.2409767369161569108278,1.20253599,104422022073.2762421,0.19515845998980702,0.26079022718139483,0.8998997946632441,0.880229965321243,-73.33820920251574,2,846
2018-11-03,0.235224384577479,24562605876.3784684090833722194464,1.20522873,104422022064.1621216,0.1951699115050792,0.26046473808923243,0.9030949306346936,0.880229965321243,-73.27693968113968,2,847
2018-11-04,0.242934419764531,25367703338.5746879445717882325019,1.2440638,104422022055.0173049,0.19527488844585866,0.25990953747896683,0.9346883616542562,0.880229965321243,-72.40102821586274,2,848
2018-11-05,0.246310323247578,25720222004.1647853151888222540638,1.26066529,104422022045.3861771,0.1953812206946524,0.2593153674182372,0.9498485404080046,0.880229965321243,-72.01750304448154,2,849
2018-11-06,0.265530601871919,27732531797.7631362728069695267212,1.35611724,104441942293.1152948,0.19580209884502245,0.25868414314500576,1.0264664801006973,0.880229965321243,-69.83395108856438,2,850
2018-11-07,0.255563736356767,26691572998.2030078012050290704559,1.30620044,104441942267.3550577,0.19565430276287993,0.2581114582011755,0.9901293733251363,0.880229965321243,-70.96625354449299,2,851
2018-11-08,0.255568380983563,26692058089.6064677058058595936661,1.30621174,104441942257.8068447,0.19565616596246718,0.2575592121867701,0.9922703941113027,0.880229965321243,-70.96572588388393,2,852
2018-11-09,0.254776052255332,26609305735.9890211425351297635172,1.29744212,104441942248.6445121,0.19636795224077666,0.2569771742761441,0.9914345621278924,0.880229965321243,-71.05573971656933,2,853
2018-11-10,0.261426396744935,27303880628.777892849081038405445,1.33059773,104441942239.740147,0.19647290150189495,0.2562889371850338,1.0200455767475913,0.880229965321243,-70.30021618844498,2,854
2018-11-11,0.272181841988886,28427200217.2905379762487895575514,1.38419561,104441942230.8535399,0.19663538882982443,0.25596467170909176,1.0633570647523785,0.880229965321243,-69.07832581119273,2,855
2018-11-12,0.266121998901913,27794298433.2729436255128215668431,1.35383054,104441942221.8354087,0.19656965258141765,0.25536564794985833,1.04212137003708,0.880229965321243,-69.76676443811012,2,856
2018-11-13,0.254142616113582,26548208320.164242721314959246026,1.29446479,104461851877.291043,0.19633026566414527,0.25468509930240957,0.9978699845797283,0.880229965321243,-71.12770229074947,2,857
2018-11-14,0.226238565666262,23633299530.4118011051139321865964,1.15470479,104461851854.5361122,0.19592762377495807,0.25367687221232604,0.8918375715264325,0.880229965321243,-74.29778869392439,2,858
2018-11-15,0.236468356425244,24701922414.728474821302572876506,1.20604277,104461851844.1710615,0.19606962730288907,0.2525727814181901,0.9362384778655872,0.880229965321243,-73.13561617514986,2,859
2018-11-16,0.23512687948775,24561789247.369812679540425726275,1.20033401,104461851834.5516101,0.19588454340950484,0.25164961618503606,0.9343422932736085,0.880229965321243,-73.28801691022417,2,860
2018-11-17,0.24261323660666,25343827973.224462047615225466754,1.23791085,104461851825.1478869,0.1959860329252789,0.25067508757846935,0.9678394408886535,0.880229965321243,-72.43751676664206,2,861
2018-11-18,0.247440442202518,25848086797.2059911393759300581816,1.26212626,104461851777.8536212,0.19605046661695952,0.24972558699850275,0.9908493766159475,0.880229965321243,-71.88911398713701,2,862
2018-11-19,0.221081808064938,23094615062.707767983007284310177,1.13068711,104461851768.1211665,0.19552872417988207,0.24865736923221043,0.8891021760086233,0.880229965321243,-74.88363078116144,2,863
2018-11-20,0.186353434610049,19470537626.0439696912364701307641,0.95649913,104481775003.4322809,0.19482865040352831,0.24745071426623558,0.7530931367995519,0.880229965321243,-78.82900583348822,2,864
2018-11-21,0.200706978505742,20970221365.0737465515981481183394,1.02920769,104481774979.6069607,0.19501115319663226,0.2463178102756722,0.814829338898053,0.880229965321243,-77.19834743043617,2,865
2018-11-22,0.184138006466328,19239065754.690531711550009130772,0.94539977,104481774968.1060115,0.19477263725833993,0.2452009574298292,0.7509677302912816,0.880229965321243,-79.08069325961584,2,866
2018-11-23,0.178457107986531,18645515396.3757786781741639694892,0.91723258,104481774958.4008932,0.1945603676512788,0.24412876321270174,0.7309958303890923,0.880229965321243,-79.72608124952863,2,867
2018-11-24,0.147051991672144,15364253099.7051450981877081458848,0.76007454,104481774949.0950242,0.19347048734475963,0.2429603081665129,0.6052510913484761,0.880229965321243,-83.29391210642586,2,868
2018-11-25,0.156477011960571,16348995946.7879805018550434112584,0.80867811,104481774938.9769304,0.19349727663652352,0.24188478996178137,0.6469071990235307,0.880229965321243,-82.22316688531909,2,869
2018-11-26,0.141084320975434,14740740270.1467566071691814979122,0.73015801,104481774928.8629733,0.19322436930526035,0.24084362776894974,0.5857922100010112,0.880229965321243,-83.97187933451632,2,870
2018-11-27,0.143290939207933,14974150922.7592804936524584668436,0.74212395,104501729177.9344292,0.19308221922757376,0.2399991823766712,0.5970476140332943,0.880229965321243,-83.72119277311373,2,871
2018-11-28,0.158771302700892,16591875672.1847239327160417603556,0.82136655,104501729153.4228143,0.1933013983840613,0.2390122092416074,0.6642811394642888,0.880229965321243,-81.96252014177364,2,872
2018-11-29,0.163011926664501,17035028206.7088444131561200649955,0.84305422,104501729138.9302455,0.19335876957534356,0.2379758159939183,0.6849936661995392,0.880229965321243,-81.48075695139403,2,873
2018-11-30,0.15683922486525,16389970193.414836536820525432575,0.81176864,104501729127.3687723,0.19320680442305582,0.2369527660816955,0.6619007976094936,0.880229965321243,-82.18201708140997,2,874
2018-12-01,0.162662270766016,16998488557.344697954634978901888,0.84166193,104501729118.219618,0.19326319151207896,0.23605364836792464,0.689090263550948,0.880229965321243,-81.52048019557573,2,875
2018-12-02,0.158279711996109,16540503586.5518970582699109960983,0.81927648,104501729109.5305587,0.1931945025397397,0.23519476455345284,0.6729729392430276,0.880229965321243,-82.01836812743085,2,876
2018-12-03,0.147607839650247,15425274472.074614093431307642217,0.76470916,104501729099.378511,0.19302480913167955,0.2344034128898188,0.6297171096208825,0.880229965321243,-83.23076406557269,2,877
2018-12-04,0.1452789788174,15184799952.86898929916616187476,0.75285382,104521659475.2819974,0.19297103230133042,0.2335486116770765,0.6220502779878421,0.880229965321243,-83.49533820240033,2,878
